Block Type,96well,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\cmblab\Downloads\UrbanPopgen_Plate39_1-16-24.eds,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2024-01-16 17:02:53 PM EST,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Comments,HIGHSD,NOAMP,EXPFAIL,MTP
A1,Sample 1,A,UNKNOWN,SYBR,None,18.97750473,18.40156555,0.814499676,,,,FALSE,0.01,TRUE,3,16,84.3483429,,,,Y,N,N,N
A2,Sample 2,A,UNKNOWN,SYBR,None,20.82324982,19.62823868,1.690002322,,,,FALSE,0.01,TRUE,3,18,83.00411987,,,,Y,N,N,N
A3,Sample 3,A,UNKNOWN,SYBR,None,20.59501076,19.95119476,0.910494685,,,,FALSE,0.01,TRUE,3,17,82.85250092,,,,Y,N,N,N
A4,Sample 4,A,UNKNOWN,SYBR,None,21.29596519,21.2449913,0.072086617,,,,FALSE,0.01,TRUE,3,20,82.85250092,,,,N,N,N,N
A5,Sample 5,A,UNKNOWN,SYBR,None,21.7177887,21.47950745,0.336981922,,,,FALSE,0.01,TRUE,3,19,83.14742279,,,,N,N,N,N
A6,Sample 6,A,UNKNOWN,SYBR,None,18.97106171,18.72782898,0.343984365,,,,FALSE,0.01,TRUE,3,17,83.44610596,86.1342926,,,N,N,N,Y
A7,Sample 7,A,UNKNOWN,SYBR,None,18.75614166,18.24435425,0.723778069,,,,FALSE,0.01,TRUE,3,16,83.45227051,,,,Y,N,N,N
A8,Sample 8,A,UNKNOWN,SYBR,None,16.70178795,15.45358562,1.765224695,,,,FALSE,0.01,TRUE,3,13,84.19917297,,,,Y,N,N,N
A9,Sample 9,A,UNKNOWN,SYBR,None,19.61570358,19.9830265,0.519473076,,,,FALSE,0.01,TRUE,3,18,82.70330811,,,,Y,N,N,N
A10,Sample 10,A,UNKNOWN,SYBR,None,17.54001808,16.13683319,1.984403133,,,,FALSE,0.01,TRUE,3,12,83.89801025,,,,Y,N,N,N
A11,Sample 11,A,UNKNOWN,SYBR,None,16.59799576,15.26535606,1.884636402,,,,FALSE,0.01,TRUE,3,14,83.29612732,,,,Y,N,N,N
A12,Sample 12,A,UNKNOWN,SYBR,None,Undetermined,21.91445351,,,,,FALSE,0.01,TRUE,1,2,82.84810638,,,,N,N,N,N
B1,Sample 1,A,UNKNOWN,SYBR,None,17.82562828,18.40156555,0.814499676,,,,FALSE,0.01,TRUE,3,15,84.19898224,,,,Y,N,N,N
B2,Sample 2,A,UNKNOWN,SYBR,None,18.43322563,19.62823868,1.690002322,,,,FALSE,0.01,TRUE,3,17,83.00411987,,,,Y,N,N,N
B3,Sample 3,A,UNKNOWN,SYBR,None,19.30737686,19.95119476,0.910494685,,,,FALSE,0.01,TRUE,3,17,82.70316315,,,,Y,N,N,N
B4,Sample 4,A,UNKNOWN,SYBR,None,21.19401932,21.2449913,0.072086617,,,,FALSE,0.01,TRUE,3,20,82.85250092,,,,N,N,N,N
B5,Sample 5,A,UNKNOWN,SYBR,None,21.24122429,21.47950745,0.336981922,,,,FALSE,0.01,TRUE,3,19,82.99807739,,,,N,N,N,N
B6,Sample 6,A,UNKNOWN,SYBR,None,18.48459435,18.72782898,0.343984365,,,,FALSE,0.01,TRUE,3,17,83.29676819,85.9849472,,,N,N,N,Y
B7,Sample 7,A,UNKNOWN,SYBR,None,17.73256493,18.24435425,0.723778069,,,,FALSE,0.01,TRUE,3,17,83.30288696,,,,Y,N,N,N
B8,Sample 8,A,UNKNOWN,SYBR,None,14.2053833,15.45358562,1.765224695,,,,FALSE,0.01,TRUE,3,13,84.04979706,,,,Y,N,N,N
B9,Sample 9,A,UNKNOWN,SYBR,None,20.35034943,19.9830265,0.519473076,,,,FALSE,0.01,TRUE,3,20,82.70330811,,,,Y,N,N,N
B10,Sample 10,A,UNKNOWN,SYBR,None,14.7336483,16.13683319,1.984403133,,,,FALSE,0.01,TRUE,3,12,83.74867249,,,,Y,N,N,N
B11,Sample 11,A,UNKNOWN,SYBR,None,13.93271732,15.26535606,1.884636402,,,,FALSE,0.01,TRUE,3,15,83.14678955,,,,Y,N,N,N
B12,Sample 12,A,UNKNOWN,SYBR,None,21.91445351,21.91445351,,,,,FALSE,0.01,TRUE,3,16,82.84810638,,,,N,N,N,N
C1,Sample 1,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,67.9189682,,,,N,N,Y,N
C2,Sample 2,B,UNKNOWN,SYBR,None,32.74065018,32.74065018,,,,,FALSE,0.1,TRUE,3,29,79.12081146,,,,N,N,N,N
C3,Sample 3,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,61.34737015,,,,N,N,Y,N
C4,Sample 4,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,79.71633911,76.43083191,,,N,N,Y,Y
C5,Sample 5,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,11,61.34328842,67.31702423,,,N,N,N,Y
C6,Sample 6,B,UNKNOWN,SYBR,None,30.44320869,30.8133316,0.52343148,,,,FALSE,0.1,TRUE,3,27,79.41383362,,,,Y,N,N,N
C7,Sample 7,B,UNKNOWN,SYBR,None,32.6749382,32.00519943,0.947152317,,,,FALSE,0.1,TRUE,3,29,78.82142639,,,,Y,N,N,N
C8,Sample 8,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,,,,N,N,Y,N
C9,Sample 9,B,UNKNOWN,SYBR,None,34.18673706,34.18673706,,,,,FALSE,0.1,TRUE,3,21,79.86590576,,,,N,N,N,N
C10,Sample 10,B,UNKNOWN,SYBR,None,35.82375717,35.82375717,,,,,FALSE,0.1,TRUE,3,32,81.20994568,,,,N,N,N,N
C11,Sample 11,B,UNKNOWN,SYBR,None,20.86165428,20.62974548,0.327967227,,,,FALSE,0.1,TRUE,3,17,78.66654968,,,,N,N,N,N
C12,Sample 12,B,UNKNOWN,SYBR,None,38.11529922,36.35920334,2.48349452,,,,FALSE,0.1,TRUE,3,32,76.12775421,,,,Y,N,N,N
D1,Sample 1,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,61.94464874,,,,N,N,Y,N
D2,Sample 2,B,UNKNOWN,SYBR,None,Undetermined,32.74065018,,,,,FALSE,0.1,TRUE,3,39,61.19786072,68.5164032,72.69842529,,N,N,Y,Y
D3,Sample 3,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,68.06772614,61.19802856,,,N,Y,Y,Y
D4,Sample 4,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,,,,N,N,Y,N
D5,Sample 5,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,61.34328842,,,,N,N,Y,N
D6,Sample 6,B,UNKNOWN,SYBR,None,31.18345261,30.8133316,0.52343148,,,,FALSE,0.1,TRUE,3,27,79.41383362,,,,Y,N,N,N
D7,Sample 7,B,UNKNOWN,SYBR,None,31.33546257,32.00519943,0.947152317,,,,FALSE,0.1,TRUE,3,29,79.12019348,,,,Y,N,N,N
D8,Sample 8,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,81.65968323,73.29429626,,,N,N,Y,Y
