Block Type,96well,,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\cmblab\Downloads\UrbanPopgen_Plate42_1-17-24.eds,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,Not Started,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Comments,BADROX,HIGHSD,NOISE,SPIKE,EXPFAIL,MTP
A1,Sample 1,A,UNKNOWN,SYBR,None,27.70850182,27.22258568,0.687189221,,,,FALSE,0.1,TRUE,3,23,85.68933868,,,,N,Y,N,N,N,N
A2,Sample 2,A,UNKNOWN,SYBR,None,22.74909401,22.62281799,0.178582609,,,,FALSE,0.1,TRUE,3,19,84.64382935,,,,N,N,N,N,N,N
A3,Sample 3,A,UNKNOWN,SYBR,None,21.00395966,21.4098053,0.573953748,,,,FALSE,0.1,TRUE,3,17,83.15182495,,,,N,Y,N,N,N,N
A4,Sample 4,A,UNKNOWN,SYBR,None,30.36656952,30.19417572,0.243802994,,,,FALSE,0.1,TRUE,3,27,83.59986115,,,,N,N,N,N,N,N
A5,Sample 5,A,UNKNOWN,SYBR,None,21.21793365,20.95095062,0.377572387,,,,FALSE,0.1,TRUE,3,18,84.9437561,,,,N,N,N,N,N,N
A6,Sample 6,A,UNKNOWN,SYBR,None,26.68488884,26.66798401,0.023907041,,,,FALSE,0.1,TRUE,3,24,85.54105377,,,,N,N,N,N,N,N
A7,Sample 7,A,UNKNOWN,SYBR,None,20.30015182,20.36190796,0.087336361,,,,FALSE,0.1,TRUE,3,16,85.83825684,,,,Y,N,Y,Y,N,N
A8,Sample 8,A,UNKNOWN,SYBR,None,21.42033005,21.18719864,0.329696238,,,,FALSE,0.1,TRUE,3,17,83.2995224,,,,N,N,N,N,N,N
A9,Sample 9,A,UNKNOWN,SYBR,None,29.82987976,29.2632122,0.801388919,,,,FALSE,0.1,TRUE,3,27,85.98887634,61.34424973,,,N,Y,N,N,N,Y
A10,Sample 10,A,UNKNOWN,SYBR,None,26.87448883,26.84288788,0.044691842,,,,FALSE,0.1,TRUE,3,23,84.19654083,,,,N,N,N,N,N,N
A11,Sample 11,A,UNKNOWN,SYBR,None,28.69673538,28.54672241,0.21215038,,,,FALSE,0.1,TRUE,3,24,86.13903046,,,,N,N,N,N,N,N
A12,,A,NTC,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,68.66676331,,,,N,N,N,N,N,N
B1,Sample 1,A,UNKNOWN,SYBR,None,26.73666954,27.22258568,0.687189221,,,,FALSE,0.1,TRUE,3,23,85.83869934,,,,N,Y,N,N,N,N
B2,Sample 2,A,UNKNOWN,SYBR,None,22.49654007,22.62281799,0.178582609,,,,FALSE,0.1,TRUE,3,19,84.49447632,,,,N,N,N,N,N,N
B3,Sample 3,A,UNKNOWN,SYBR,None,21.81565285,21.4098053,0.573953748,,,,FALSE,0.1,TRUE,3,18,83.15182495,,,,N,Y,N,N,N,N
B4,Sample 4,A,UNKNOWN,SYBR,None,30.02178001,30.19417572,0.243802994,,,,FALSE,0.1,TRUE,3,27,83.30117035,,,,N,N,N,N,N,N
B5,Sample 5,A,UNKNOWN,SYBR,None,20.68396568,20.95095062,0.377572387,,,,FALSE,0.1,TRUE,3,17,84.79443359,,,,N,N,N,N,N,N
B6,Sample 6,A,UNKNOWN,SYBR,None,26.65107918,26.66798401,0.023907041,,,,FALSE,0.1,TRUE,3,24,85.24240875,,,,N,N,N,N,N,N
B7,Sample 7,A,UNKNOWN,SYBR,None,20.42366409,20.36190796,0.087336361,,,,FALSE,0.1,TRUE,3,16,85.68891907,65.52838135,,,N,N,Y,Y,N,Y
B8,Sample 8,A,UNKNOWN,SYBR,None,20.95406914,21.18719864,0.329696238,,,,FALSE,0.1,TRUE,3,17,83.15018463,,,,N,N,N,N,N,N
B9,Sample 9,A,UNKNOWN,SYBR,None,28.69654465,29.2632122,0.801388919,,,,FALSE,0.1,TRUE,3,25,87.18376923,67.01998138,61.34424973,,N,Y,N,N,N,Y
B10,Sample 10,A,UNKNOWN,SYBR,None,26.81128502,26.84288788,0.044691842,,,,FALSE,0.1,TRUE,3,23,84.19654083,,,,N,N,N,N,N,N
B11,Sample 11,A,UNKNOWN,SYBR,None,28.39670944,28.54672241,0.21215038,,,,FALSE,0.1,TRUE,3,25,85.98970032,,,,N,N,N,N,N,N
B12,,A,NTC,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,67.32274628,,,,N,N,N,N,N,N
C1,Sample 1,B,UNKNOWN,SYBR,None,22.93249893,22.91386032,0.026357628,,,,FALSE,0.1,TRUE,3,20,79.26692963,,,,N,N,N,N,N,N
